country,skill1,value,continent
Australia,Basic Skills (Content),0.217,Oceania
Australia,Basic Skills (Process),0.28,Oceania
Australia,Social Skills,0.201,Oceania
Australia,Complex Problem Solving Skills,0.219,Oceania
Australia,Technical Skills,0.012,Oceania
Australia,Systems Skills,0.227,Oceania
Australia,Resource Management Skills,0.117,Oceania
Austria,Basic Skills (Content),0.252,Europe
Austria,Basic Skills (Process),0.223,Europe
Austria,Social Skills,0.108,Europe
Austria,Complex Problem Solving Skills,0.187,Europe
Austria,Technical Skills,-0.026,Europe
Austria,Systems Skills,0.218,Europe
Austria,Resource Management Skills,0.032,Europe
Belgium,Basic Skills (Content),0.207,Europe
Belgium,Basic Skills (Process),0.19,Europe
Belgium,Social Skills,0.151,Europe
Belgium,Complex Problem Solving Skills,0.147,Europe
Belgium,Technical Skills,-0.097,Europe
Belgium,Systems Skills,0.16,Europe
Belgium,Resource Management Skills,0.023,Europe
Canada,Basic Skills (Content),0.137,Americas
Canada,Basic Skills (Process),0.154,Americas
Canada,Social Skills,0.1,Americas
Canada,Complex Problem Solving Skills,0.168,Americas
Canada,Technical Skills,0.053,Americas
Canada,Systems Skills,0.189,Americas
Canada,Resource Management Skills,0.102,Americas
Chile,Basic Skills (Content),-0.032,Americas
Chile,Basic Skills (Process),-0.039,Americas
Chile,Social Skills,-0.02,Americas
Chile,Complex Problem Solving Skills,-0.086,Americas
Chile,Technical Skills,0.03,Americas
Chile,Systems Skills,-0.119,Americas
Chile,Resource Management Skills,-0.034,Americas
Czech Republic,Basic Skills (Content),0.19,Europe
Czech Republic,Basic Skills (Process),0.205,Europe
Czech Republic,Social Skills,0.107,Europe
Czech Republic,Complex Problem Solving Skills,0.218,Europe
Czech Republic,Technical Skills,0.121,Europe
Czech Republic,Systems Skills,0.219,Europe
Czech Republic,Resource Management Skills,0.148,Europe
Denmark,Basic Skills (Content),0.27,Europe
Denmark,Basic Skills (Process),0.297,Europe
Denmark,Social Skills,0.146,Europe
Denmark,Complex Problem Solving Skills,0.274,Europe
Denmark,Technical Skills,0.058,Europe
Denmark,Systems Skills,0.3,Europe
